41949 records sent, 8376.4 records/sec (7.99 MB/sec), 541.1 ms avg latency, 1248.0 ms max latency.
56627 records sent, 11302.8 records/sec (10.78 MB/sec), 263.3 ms avg latency, 1258.0 ms max latency.
50820 records sent, 10164.0 records/sec (9.69 MB/sec), 123.5 ms avg latency, 395.0 ms max latency.
22246 records sent, 4443.0 records/sec (4.24 MB/sec), 1259.0 ms avg latency, 3620.0 ms max latency.
20426 records sent, 4082.8 records/sec (3.89 MB/sec), 3789.3 ms avg latency, 7040.0 ms max latency.
22680 records sent, 4530.6 records/sec (4.32 MB/sec), 5779.7 ms avg latency, 10214.0 ms max latency.
28350 records sent, 5651.9 records/sec (5.39 MB/sec), 8739.3 ms avg latency, 13409.0 ms max latency.
23814 records sent, 4561.2 records/sec (4.35 MB/sec), 10711.3 ms avg latency, 16910.0 ms max latency.
37044 records sent, 7401.4 records/sec (7.06 MB/sec), 11467.2 ms avg latency, 19029.0 ms max latency.
29484 records sent, 5850.0 records/sec (5.58 MB/sec), 11530.3 ms avg latency, 20382.0 ms max latency.
33390 records sent, 6510.0 records/sec (6.21 MB/sec), 10249.4 ms avg latency, 18035.0 ms max latency.
38808 records sent, 6223.2 records/sec (5.93 MB/sec), 10084.7 ms avg latency, 17368.0 ms max latency.
28224 records sent, 5624.6 records/sec (5.36 MB/sec), 10205.2 ms avg latency, 18507.0 ms max latency.
30744 records sent, 6147.6 records/sec (5.86 MB/sec), 11313.4 ms avg latency, 20234.0 ms max latency.
25326 records sent, 5058.1 records/sec (4.82 MB/sec), 12183.7 ms avg latency, 21381.0 ms max latency.
29232 records sent, 4804.7 records/sec (4.58 MB/sec), 12025.2 ms avg latency, 21698.0 ms max latency.
30240 records sent, 6028.7 records/sec (5.75 MB/sec), 13453.7 ms avg latency, 25362.0 ms max latency.
35217 records sent, 7043.4 records/sec (6.72 MB/sec), 11199.9 ms avg latency, 20613.0 ms max latency.
39779 records sent, 7949.4 records/sec (7.58 MB/sec), 10161.7 ms avg latency, 19203.0 ms max latency.
24885 records sent, 4925.8 records/sec (4.70 MB/sec), 9236.1 ms avg latency, 18527.0 ms max latency.
19593 records sent, 3906.9 records/sec (3.73 MB/sec), 12104.4 ms avg latency, 19187.0 ms max latency.
23586 records sent, 4695.6 records/sec (4.48 MB/sec), 12618.2 ms avg latency, 20208.0 ms max latency.
31311 records sent, 6253.4 records/sec (5.96 MB/sec), 13487.2 ms avg latency, 20865.0 ms max latency.
36099 records sent, 7193.9 records/sec (6.86 MB/sec), 12488.8 ms avg latency, 21656.0 ms max latency.
43911 records sent, 8750.7 records/sec (8.35 MB/sec), 8833.5 ms avg latency, 17848.0 ms max latency.
31159 records sent, 6230.6 records/sec (5.94 MB/sec), 8251.9 ms avg latency, 15328.0 ms max latency.
32274 records sent, 6211.3 records/sec (5.92 MB/sec), 11114.5 ms avg latency, 15314.0 ms max latency.
38485 records sent, 7672.4 records/sec (7.32 MB/sec), 11175.6 ms avg latency, 15015.0 ms max latency.
44724 records sent, 8941.2 records/sec (8.53 MB/sec), 8512.8 ms avg latency, 12313.0 ms max latency.
51854 records sent, 10362.5 records/sec (9.88 MB/sec), 5875.4 ms avg latency, 9700.0 ms max latency.
52543 records sent, 10496.0 records/sec (10.01 MB/sec), 6108.5 ms avg latency, 10283.0 ms max latency.
29464 records sent, 5886.9 records/sec (5.61 MB/sec), 6971.4 ms avg latency, 11242.0 ms max latency.
20916 records sent, 4173.2 records/sec (3.98 MB/sec), 9843.2 ms avg latency, 16344.0 ms max latency.
34272 records sent, 6813.5 records/sec (6.50 MB/sec), 10008.0 ms avg latency, 17547.0 ms max latency.
28214 records sent, 5252.0 records/sec (5.01 MB/sec), 11120.5 ms avg latency, 19836.0 ms max latency.
9954 records sent, 1940.7 records/sec (1.85 MB/sec), 12918.2 ms avg latency, 23489.0 ms max latency.
40819 records sent, 7804.8 records/sec (7.44 MB/sec), 14950.5 ms avg latency, 23882.0 ms max latency.
49014 records sent, 9765.7 records/sec (9.31 MB/sec), 11064.9 ms avg latency, 18914.0 ms max latency.
