58658 records sent, 11576.5 records/sec (11.04 MB/sec), 594.3 ms avg latency, 1318.0 ms max latency.
101052 records sent, 18737.6 records/sec (17.87 MB/sec), 1885.9 ms avg latency, 3007.0 ms max latency.
122094 records sent, 24384.7 records/sec (23.26 MB/sec), 2861.7 ms avg latency, 4652.0 ms max latency.
55314 records sent, 11056.2 records/sec (10.54 MB/sec), 3528.2 ms avg latency, 7234.0 ms max latency.
24696 records sent, 4929.3 records/sec (4.70 MB/sec), 7962.8 ms avg latency, 10894.0 ms max latency.
49266 records sent, 9841.4 records/sec (9.39 MB/sec), 9300.0 ms avg latency, 13735.0 ms max latency.
72828 records sent, 14330.6 records/sec (13.67 MB/sec), 5499.6 ms avg latency, 13305.0 ms max latency.
122850 records sent, 24560.2 records/sec (23.42 MB/sec), 3251.3 ms avg latency, 7645.0 ms max latency.
34650 records sent, 5894.9 records/sec (5.62 MB/sec), 3669.3 ms avg latency, 7109.0 ms max latency.
53550 records sent, 10707.9 records/sec (10.21 MB/sec), 8810.5 ms avg latency, 11870.0 ms max latency.
98784 records sent, 19701.6 records/sec (18.79 MB/sec), 4259.0 ms avg latency, 12079.0 ms max latency.
72576 records sent, 14405.7 records/sec (13.74 MB/sec), 3367.6 ms avg latency, 7557.0 ms max latency.
8190 records sent, 1635.1 records/sec (1.56 MB/sec), 7990.4 ms avg latency, 12076.0 ms max latency.
52038 records sent, 10399.3 records/sec (9.92 MB/sec), 9802.4 ms avg latency, 14618.0 ms max latency.
26838 records sent, 5359.0 records/sec (5.11 MB/sec), 8840.0 ms avg latency, 18060.0 ms max latency.
50904 records sent, 10164.5 records/sec (9.69 MB/sec), 8914.8 ms avg latency, 19247.0 ms max latency.
49014 records sent, 9795.0 records/sec (9.34 MB/sec), 7497.4 ms avg latency, 14320.0 ms max latency.
60480 records sent, 12071.9 records/sec (11.51 MB/sec), 5756.1 ms avg latency, 13300.0 ms max latency.
18522 records sent, 3686.7 records/sec (3.52 MB/sec), 6585.8 ms avg latency, 11008.0 ms max latency.
36792 records sent, 7355.5 records/sec (7.01 MB/sec), 10624.0 ms avg latency, 15346.0 ms max latency.
48258 records sent, 9643.9 records/sec (9.20 MB/sec), 8630.8 ms avg latency, 16602.0 ms max latency.
53424 records sent, 10684.8 records/sec (10.19 MB/sec), 6681.7 ms avg latency, 16321.0 ms max latency.
13608 records sent, 2621.5 records/sec (2.50 MB/sec), 7878.4 ms avg latency, 14424.0 ms max latency.
36666 records sent, 7309.8 records/sec (6.97 MB/sec), 11601.1 ms avg latency, 15296.0 ms max latency.
40194 records sent, 7881.2 records/sec (7.52 MB/sec), 10642.2 ms avg latency, 16919.0 ms max latency.
