40763 records sent, 8139.6 records/sec (7.76 MB/sec), 537.8 ms avg latency, 1636.0 ms max latency.
57866 records sent, 11561.6 records/sec (11.03 MB/sec), 309.0 ms avg latency, 1591.0 ms max latency.
50986 records sent, 10197.2 records/sec (9.72 MB/sec), 118.3 ms avg latency, 443.0 ms max latency.
22561 records sent, 4501.4 records/sec (4.29 MB/sec), 1317.1 ms avg latency, 3386.0 ms max latency.
20929 records sent, 4183.3 records/sec (3.99 MB/sec), 3735.1 ms avg latency, 6844.0 ms max latency.
22302 records sent, 4368.7 records/sec (4.17 MB/sec), 5775.7 ms avg latency, 10123.0 ms max latency.
28728 records sent, 5723.8 records/sec (5.46 MB/sec), 8451.0 ms avg latency, 13373.0 ms max latency.
24192 records sent, 4727.8 records/sec (4.51 MB/sec), 10321.7 ms avg latency, 16324.0 ms max latency.
37296 records sent, 7439.9 records/sec (7.10 MB/sec), 11153.6 ms avg latency, 17643.0 ms max latency.
30114 records sent, 5979.7 records/sec (5.70 MB/sec), 11389.4 ms avg latency, 17747.0 ms max latency.
33138 records sent, 6455.9 records/sec (6.16 MB/sec), 10226.4 ms avg latency, 16521.0 ms max latency.
42588 records sent, 6834.9 records/sec (6.52 MB/sec), 9711.2 ms avg latency, 16089.0 ms max latency.
25326 records sent, 5048.0 records/sec (4.81 MB/sec), 10116.1 ms avg latency, 16613.0 ms max latency.
30240 records sent, 6032.3 records/sec (5.75 MB/sec), 11226.1 ms avg latency, 17610.0 ms max latency.
24696 records sent, 4154.1 records/sec (3.96 MB/sec), 11957.5 ms avg latency, 19077.0 ms max latency.
24948 records sent, 4679.8 records/sec (4.46 MB/sec), 12755.9 ms avg latency, 21125.0 ms max latency.
30114 records sent, 6020.4 records/sec (5.74 MB/sec), 13783.5 ms avg latency, 23010.0 ms max latency.
35721 records sent, 7137.1 records/sec (6.81 MB/sec), 12041.5 ms avg latency, 20717.0 ms max latency.
